j_offset	s_duration	s_measure	s_notes	s_intervals	s_isOnset	a_measure	a_duration	a_annotationNumber	a_romanNumeral	a_harmonicRhythm	a_pitchNames	a_bass	a_tenor	a_alto	a_soprano	a_root	a_inversion	a_quality	a_pcset	a_localKey	a_tonicizedKey	a_degree1	a_degree2	measureMisalignment	qualityScoreNotes	qualityNonChordTones	qualityMissingChordTones	qualitySquaredSum	incongruentBass
310.625	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
310.75	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
310.875	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.0	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.125	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.25	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.375	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	4.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.5	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	5.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.625	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	5.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.75	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	5.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
311.875	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	2.5	173.0	I	5.0	('B', 'E', 'G#')	B	E	G#	E	E	2.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	0.0
312.0	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	0.5	174.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	1.0
312.125	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	0.5	174.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	1.0
312.25	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	0.5	174.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	1.0
312.375	2.0	104.0	['B2', 'G#3', 'E4']	['M6', 'P4']	[False, False, False]	104.0	0.5	174.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E', 'B', 'G#', 'E']	0.0	0.0	0.0	1.0
312.5	0.5	104.0	['E4', 'G#4', 'B4', 'C#5', 'E5', 'G#5']	['M3', 'P5', 'M6', 'P1', 'M3']	[True, True, True, True, True, True]	105.0	1.0	175.0	IV	0.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	True	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
312.625	0.5	104.0	['E4', 'G#4', 'B4', 'C#5', 'E5', 'G#5']	['M3', 'P5', 'M6', 'P1', 'M3']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	1.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	True	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
312.75	0.5	104.0	['E4', 'G#4', 'B4', 'C#5', 'E5', 'G#5']	['M3', 'P5', 'M6', 'P1', 'M3']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	2.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	True	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
312.875	0.5	104.0	['E4', 'G#4', 'B4', 'C#5', 'E5', 'G#5']	['M3', 'P5', 'M6', 'P1', 'M3']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	2.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	True	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
313.0	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[True, True, True, True, True, True]	105.0	1.0	175.0	IV	3.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	False	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
313.125	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	3.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	False	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
313.25	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	3.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	False	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
313.375	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	1.0	175.0	IV	3.0	('E', 'A', 'C#')	E	A	C#	A	A	2.0	maj	(1, 4, 9)	E	E	4	None	False	['E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'G#', 'B', 'C#', 'E', 'G#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.25	0.0	0.06	0.0
313.5	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	0.5	176.0	V7	0.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.67	0.75	2.01	1.0
313.625	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	0.5	176.0	V7	1.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.67	0.75	2.01	1.0
313.75	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	0.5	176.0	V7	2.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.67	0.75	2.01	1.0
313.875	1.0	105.0	['E4', 'A4', 'C#5', 'E5', 'A5', 'C#6']	['P4', 'M6', 'P1', 'P4', 'M6']	[False, False, False, False, False, False]	105.0	0.5	176.0	V7	2.0	('B', 'D#', 'F#', 'A')	B	D#	F#	A	B	0.0	7	(3, 6, 9, 11)	E	E	5	None	False	['E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#', 'E', 'A', 'C#']	0.67	0.75	2.01	1.0
314.0	0.5	105.0	['E4', 'B4', 'D#5', 'F#5', 'A5', 'B5', 'D#6']	['P5', 'M7', 'M2', 'P4', 'P5', 'M7']	[True, True, True, True, True, True, True]	105.0	1.5	177.0	I	0.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.125	0.5	105.0	['E4', 'B4', 'D#5', 'F#5', 'A5', 'B5', 'D#6']	['P5', 'M7', 'M2', 'P4', 'P5', 'M7']	[False, False, False, False, False, False, False]	105.0	1.5	177.0	I	1.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.25	0.5	105.0	['E4', 'B4', 'D#5', 'F#5', 'A5', 'B5', 'D#6']	['P5', 'M7', 'M2', 'P4', 'P5', 'M7']	[False, False, False, False, False, False, False]	105.0	1.5	177.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.375	0.5	105.0	['E4', 'B4', 'D#5', 'F#5', 'A5', 'B5', 'D#6']	['P5', 'M7', 'M2', 'P4', 'P5', 'M7']	[False, False, False, False, False, False, False]	105.0	1.5	177.0	I	2.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.5	1.0	105.0	['E4', 'B4', 'E5', 'G#5', 'B5', 'E6']	['P5', 'P1', 'M3', 'P5', 'P1']	[True, True, True, True, True, True]	105.0	1.5	177.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.625	1.0	105.0	['E4', 'B4', 'E5', 'G#5', 'B5', 'E6']	['P5', 'P1', 'M3', 'P5', 'P1']	[False, False, False, False, False, False]	105.0	1.5	177.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.75	1.0	105.0	['E4', 'B4', 'E5', 'G#5', 'B5', 'E6']	['P5', 'P1', 'M3', 'P5', 'P1']	[False, False, False, False, False, False]	105.0	1.5	177.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
314.875	1.0	105.0	['E4', 'B4', 'E5', 'G#5', 'B5', 'E6']	['P5', 'P1', 'M3', 'P5', 'P1']	[False, False, False, False, False, False]	105.0	1.5	177.0	I	3.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
315.0	1.0	105.0	['E4', 'B4', 'E5', 'G#5', 'B5', 'E6']	['P5', 'P1', 'M3', 'P5', 'P1']	[False, False, False, False, False, False]	105.0	1.5	177.0	I	4.0	('E', 'G#', 'B')	E	G#	B	E	E	0.0	maj	(4, 8, 11)	E	E	1	None	False	['E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'D#', 'F#', 'A', 'B', 'D#', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E', 'E', 'B', 'E', 'G#', 'B', 'E']	0.21	0.0	0.04	0.0
